timestamp,open,high,low,close,volume,buy_volume,sell_volume,delta,trades_count,vwap
2025-12-15T01:00:00,88118.8,88214.1,88100.2,88195.5,238.498,190.447,48.051,142.39600000000002,2318,88141.68872359517
2025-12-15T01:01:00,88195.5,88446.7,88195.5,88428.5,490.716,336.97,153.746,183.22400000000002,4495,88361.34004862282
2025-12-15T01:02:00,88428.6,88449.8,88272.2,88313.7,195.007,104.572,90.435,14.137,2296,88363.16962775696
2025-12-15T01:03:00,88313.7,88313.7,88172.5,88237.7,222.949,111.237,111.712,-0.4750000000000085,2471,88219.77084669587
2025-12-15T01:04:00,88237.6,88313.8,88219.8,88257.0,191.521,130.564,60.957,69.607,2472,88266.46659321953
2025-12-15T01:05:00,88256.9,88270.3,88185.3,88258.5,88.648,46.25,42.398,3.8519999999999968,1666,88225.91877199711
2025-12-15T01:06:00,88258.6,88268.4,88192.6,88236.7,98.37899999999999,64.689,33.69,30.998999999999995,1451,88221.77780420618
2025-12-15T01:07:00,88236.7,88271.0,88209.2,88241.1,92.902,63.214,29.688,33.525999999999996,1381,88244.59806570364
2025-12-15T01:08:00,88241.2,88263.9,88230.0,88248.8,49.234,30.926000000000002,18.308,12.618000000000002,770,88247.18775033513
2025-12-15T01:09:00,88248.8,88248.8,88183.9,88187.2,67.942,20.947,46.995,-26.048,914,88201.22887462836
2025-12-15T01:10:00,88187.1,88244.8,88171.8,88229.1,61.471999999999994,40.12,21.352,18.767999999999997,1322,88209.20592464863
2025-12-15T01:11:00,88229.1,88229.2,88122.7,88184.2,84.021,39.478,44.543,-5.064999999999998,1364,88162.66843884267
2025-12-15T01:12:00,88184.2,88184.3,88076.8,88079.4,73.14699999999999,30.963,42.184,-11.220999999999997,1217,88110.29585628939
2025-12-15T01:13:00,88079.5,88111.2,88066.2,88106.5,71.11200000000001,25.824,45.288000000000004,-19.464000000000002,836,88097.81340561368
2025-12-15T01:14:00,88106.4,88138.8,88075.6,88118.8,68.765,28.756,40.009,-11.253,966,88098.65459463389
2025-12-15T01:15:00,88118.8,88160.1,88112.7,88153.1,62.46,37.11,25.35,11.759999999999998,1181,88140.95994876721
2025-12-15T01:16:00,88153.2,88160.1,88026.3,88029.7,60.653,14.946,45.707,-30.761000000000003,1074,88091.59917398974
2025-12-15T01:17:00,88029.6,88243.0,88025.3,88242.9,139.606,101.88,37.726,64.154,1720,88145.92820724037
2025-12-15T01:18:00,88243.0,88336.1,88209.7,88321.2,354.75199999999995,277.727,77.025,200.70199999999997,2488,88277.4470802138
2025-12-15T01:19:00,88321.2,88390.9,88311.1,88363.8,111.012,55.788,55.224,0.5640000000000001,1526,88358.99991352286
2025-12-15T01:20:00,88363.8,88363.8,88302.4,88332.9,52.171,25.36,26.811,-1.4510000000000005,1052,88333.51591113837
2025-12-15T01:21:00,88332.8,88426.0,88309.2,88415.9,149.662,95.126,54.536,40.59,1872,88379.6387980917
2025-12-15T01:22:00,88415.9,88472.1,88395.7,88459.9,174.308,112.72,61.588,51.132,1589,88440.36756660625
2025-12-15T01:23:00,88459.9,88476.5,88409.9,88437.0,97.564,33.938,63.626,-29.687999999999995,1809,88446.38566376943
2025-12-15T01:24:00,88436.5,88523.6,88430.0,88514.9,155.785,87.24,68.545,18.694999999999993,1549,88484.94657059408
